,SOL,BTC,ETH,USDC
2022-01-01,101.01342830602246,99.74347139765763,101.31537707620137,103.06605971281606
2022-01-02,100.56057828907909,99.29634743456526,104.53561098935063,104.66860239716986
2022-01-03,99.63647808990632,100.39369131589268,103.58764507831997,103.71459046962977
2022-01-04,100.13857075691377,96.57214472849645,100.03475908286312,102.56898497129554
2022-01-05,98.13012925489689,97.19840993512085,98.23808664195562,99.6923276259465
2022-01-06,101.02624134347893,96.77894766894136,98.39041109174218,96.8715368321824
2022-01-07,99.94650778152558,97.01300288857185,96.14515454902983,97.61880002798785
2022-01-08,98.76586229316479,96.4664437573241,95.00736007542027,101.2546672617891
2022-01-09,98.75895416482729,94.44506480928293,96.5893179602832,98.80259584411178
2022-01-10,99.19124895977576,90.76233038515197,94.042864132126,99.21136438577959
2022-01-11,100.67607565726371,91.091558542327,93.8441547907974,98.63374848943647
2022-01-12,97.71917503713198,89.79834223702863,92.99835849926372,100.73883379480375
2022-01-13,98.41028078782541,86.6499402404983,93.61974371435639,99.98312676467904
2022-01-14,97.09764116155166,87.72730450603821,95.56890588441317,101.86536935409238
2022-01-15,95.48733985125682,87.20232260187271,96.22118933956514,103.87322772188128
2022-01-16,94.59133585328506,86.89596518685364,94.11137623729671,101.40892550611456
2022-01-17,96.14741217956684,89.27038010604515,93.99465907964536,103.46455114892112
2022-01-18,96.86204902118746,88.13643246791601,94.6928431461142,106.6678893191515
2022-01-19,96.81201775986163,90.91210195254966,89.75035947025602,108.44263500437192
2022-01-20,96.99992420973797,90.38661663833787,89.93302079573668,104.1535793243308
2022-01-21,96.59316106515496,91.05025790362481,92.60923691708851,103.09481607438762
2022-01-22,95.05058064127981,90.15476579073889,94.32325259632546,103.79328574129482
2022-01-23,94.06251045803407,91.09826684830401,94.52525065101648,105.82482132412817
2022-01-24,92.760585430427,90.51949742833663,93.80287327200419,102.74846213056755
2022-01-25,93.3285033526797,91.01021316859712,93.83122698516688,102.28694247919536
2022-01-26,90.7052803924555,90.26275480136587,93.2068467587372,100.66615008990645
2022-01-27,90.43083213453474,91.01022222064479,96.74159693314137,101.03776484610239
2022-01-28,90.91472822395433,90.89291747834297,93.04844542218052,101.00439434481568
2022-01-29,91.04242743295231,95.38892130302472,92.70907733660907,101.63374735725856
2022-01-30,90.99743104294971,93.17842034010407,94.84662012593468,103.18250954420331
2022-01-31,92.45526803023472,91.50235029387447,97.52659543244341,100.31021583278982
2022-02-01,93.55891968189573,95.52928752345431,95.61402804268671,99.19416892631493
2022-02-02,93.76409694708062,94.58645997049648,92.66784731264075,99.35002870620019
2022-02-03,91.79073079844888,95.50128589214269,90.98235959103287,102.44961926456581
2022-02-04,90.37118110253188,94.90524037064081,92.48087038303558,99.94807757671876
2022-02-05,90.80037179762598,97.40531536459325,89.52613758394499,100.3371431765516
